,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,scored_by,assisted_by,cards_home_team,cards_away_team,corners_home_team,corners_away_team,shoton_home_team,shoton_away_team,shotoff_home_team,shotoff_away_team,cross_home_team,cross_away_team,possession_home_team,possession_away_team
0,1729,2008/2009,1,2008-08-17 00:00:00,489042,10260,10261,1,1,37799;24148,38807;24154,3,0,6,6,11,1,10,9,24,9,55,45
1,1729,2008/2009,10,2008-10-29 00:00:00,489132,10260,8654,2,0,30893;30893,40945;27430,1,2,3,1,11,3,8,3,14,6,60,40
2,1729,2008/2009,11,2008-11-01 00:00:00,489142,10260,8667,4,3,30893;26143;34944;30893;30865;32577;39073,27430;23022;27430;40945;30829,2,2,9,1,7,3,9,4,12,8,50,50
3,1729,2008/2009,12,2008-11-08 00:00:00,489152,9825,10260,2,1,26181;26181;38994,30613,3,2,5,6,6,9,6,10,16,20,52,48
4,1729,2008/2009,13,2008-11-15 00:00:00,489162,10260,10194,5,0,30893;34944;27430;113836;30893,30893;38817;111975,1,2,3,0,11,0,6,2,17,12,58,42
5,1729,2008/2009,14,2008-11-22 00:00:00,489175,10252,10260,0,0,,,1,0,3,6,7,5,3,6,13,18,40,60
6,1729,2008/2009,15,2008-11-30 00:00:00,489187,8456,10260,0,1,30829,34944,2,6,3,8,1,8,8,5,13,19,49,51
7,1729,2008/2009,16,2008-12-06 00:00:00,489192,10260,8472,1,0,30865,,1,0,10,1,10,1,14,0,50,4,80,20
8,1729,2008/2009,17,2008-12-13 00:00:00,489204,8586,10260,0,0,,,1,1,4,14,5,10,5,5,14,28,38,62
9,1729,2008/2009,18,2009-01-14 00:00:00,489212,10260,8528,1,0,30829,30893,0,3,4,6,6,5,5,10,18,22,50,50
10,1729,2008/2009,19,2008-12-26 00:00:00,489230,10194,10260,0,1,38817,27430,5,2,6,9,4,8,3,9,15,23,48,52
11,1729,2008/2009,2,2008-08-25 00:00:00,489059,8462,10260,0,1,24148,32569,2,2,4,3,4,7,8,5,17,13,36,64
12,1729,2008/2009,20,2008-12-29 00:00:00,489233,10260,8549,1,0,27430,,2,0,8,4,12,2,18,6,25,16,53,47
13,1729,2008/2009,21,2009-01-11 00:00:00,489243,10260,8455,3,0,30865;30829;27430,27430;32569;30893,3,5,6,3,6,6,5,4,14,13,56,44
14,1729,2008/2009,22,2009-01-17 00:00:00,489259,8559,10260,0,1,27430,38817,1,1,1,8,3,13,5,5,16,19,41,59
15,1729,2008/2009,23,2009-01-27 00:00:00,489266,8659,10260,0,5,27430;38817;30865;30893;30893,34944;24154;24154;27430,6,2,5,4,4,6,10,6,14,10,39,61
16,1729,2008/2009,24,2009-01-31 00:00:00,489273,10260,8668,1,0,30893,,0,0,6,2,11,5,7,3,17,13,52,48
17,1729,2008/2009,25,2009-02-08 00:00:00,489285,8654,10260,0,1,24154,30373,1,1,5,11,5,8,8,8,25,32,47,53
18,1729,2008/2009,26,2009-02-21 00:00:00,489293,10260,8655,2,1,30829;30646;30893,40945;37764,2,2,4,6,5,6,9,8,16,24,58,42
19,1729,2008/2009,27,2009-04-22 00:00:00,489303,10260,8462,2,0,30829;34944,24154;30373,1,0,6,2,12,2,6,3,18,9,52,48
20,1729,2008/2009,28,2009-03-04 00:00:00,489319,10261,10260,1,2,36412;30829;27430,33852;24150;30802,2,2,3,10,5,7,4,5,13,19,37,63
21,1729,2008/2009,29,2009-03-14 00:00:00,489323,10260,8650,1,4,30893;30853;30618;34222;39647,22764;30660,3,3,10,3,8,3,8,2,23,10,61,39
22,1729,2008/2009,3,2009-02-18 00:00:00,489062,10260,9879,3,0,30373;27430;30829,34944;24150;30802,1,1,11,2,8,1,10,5,22,11,55,45
23,1729,2008/2009,30,2009-03-21 00:00:00,489338,9879,10260,2,0,30338;24737,31907,2,6,3,4,11,13,9,6,16,13,54,46
24,1729,2008/2009,31,2009-04-05 00:00:00,489343,10260,10252,3,2,30893;26165;23264;30893;165709,24154;23782;26165;34944;24154,1,2,8,4,6,4,7,3,29,18,53,47
25,1729,2008/2009,32,2009-04-11 00:00:00,489354,8472,10260,1,2,30373;30988;165709,30829;24655;34944,1,2,5,4,7,4,8,11,23,14,50,50
26,1729,2008/2009,33,2009-05-13 00:00:00,489371,8528,10260,1,2,71550;38817;34944,25150;34944;24150,0,0,5,4,6,6,6,10,13,21,48,52
27,1729,2008/2009,34,2009-04-25 00:00:00,489373,10260,8586,5,2,23949;31097;30893;30829;30893;30829;27430,46403;30895;38817;30829;30893,3,3,6,2,12,2,6,2,24,10,53,47
28,1729,2008/2009,35,2009-05-02 00:00:00,489387,8549,10260,0,2,24154;30802,30865;30829,1,1,3,3,8,3,7,9,22,6,44,56
29,1729,2008/2009,36,2009-05-10 00:00:00,489393,10260,8456,2,0,30893;38817,27430,1,1,8,7,6,5,6,5,19,23,49,51
30,1729,2008/2009,37,2009-05-16 00:00:00,489403,10260,9825,0,0,,,0,5,2,6,3,10,8,5,13,22,50,50
31,1729,2008/2009,38,2009-05-24 00:00:00,489421,8667,10260,0,1,24156,165709,2,1,8,2,9,4,4,7,25,10,52,48
32,1729,2008/2009,4,2008-09-13 00:00:00,489072,8650,10260,2,1,38817;30915,27430;37139,0,4,5,4,10,4,6,3,23,14,50,50
33,1729,2008/2009,5,2008-09-21 00:00:00,489091,8455,10260,1,1,30802;31906,27430;30631,1,7,7,4,16,8,9,6,32,13,50,50
34,1729,2008/2009,6,2008-09-27 00:00:00,489092,10260,8559,2,0,30893;30829,30893,0,3,16,4,19,5,11,5,30,14,79,21
35,1729,2008/2009,7,2008-10-04 00:00:00,489107,8655,10260,0,2,30362;30829,30829;30893,2,1,3,4,4,8,3,8,16,24,39,61
36,1729,2008/2009,8,2008-10-18 00:00:00,489112,10260,8659,4,0,30829;30893;27430;40945,27430;30829;40945;30829,0,1,15,1,10,2,5,4,32,6,78,22
37,1729,2008/2009,9,2008-10-25 00:00:00,489125,8668,10260,1,1,24148;39618,24154;30371,3,3,6,9,10,10,4,9,20,17,57,43
38,1729,2009/2010,1,2009-08-16 00:00:00,658571,10260,8658,1,0,30829,,1,1,12,2,18,3,11,3,27,16,55,45
39,1729,2009/2010,10,2009-10-25 00:00:00,658707,8650,10260,2,0,30853;41175,24800;95327,3,4,5,1,6,7,6,3,14,10,49,51
40,1729,2009/2010,11,2009-10-31 00:00:00,658710,10260,8655,2,0,27430;30829,32569;40961,0,2,7,2,9,2,10,2,35,4,65,35
41,1729,2009/2010,12,2009-11-08 00:00:00,658728,8455,10260,1,0,30627,30631,3,3,0,7,6,8,3,11,12,19,52,48
42,1729,2009/2010,13,2009-11-21 00:00:00,658796,10260,8668,3,0,24148;34944;35327,35327;24154;30373,2,2,13,4,7,6,6,6,40,8,67,33
43,1729,2009/2010,14,2009-11-28 00:00:00,658799,8462,10260,1,4,30829;27335;30829;30829;24154,24154,4,3,4,8,11,4,9,6,14,19,46,54
44,1729,2009/2010,15,2009-12-05 00:00:00,658810,8654,10260,0,4,30373;24156;35327;30829,24154;40961;35327,0,1,2,8,6,3,4,9,4,26,41,59
45,1729,2009/2010,16,2009-12-12 00:00:00,658819,10260,10252,0,1,23264,23354,1,1,9,4,10,4,8,4,29,17,57,43
46,1729,2009/2010,17,2009-12-15 00:00:00,658832,10260,8602,3,0,30829;30865;35327,24156;27430,1,1,8,2,11,1,4,3,26,9,63,37
47,1729,2009/2010,18,2009-12-19 00:00:00,658845,9879,10260,3,0,30338;24741;34574,30956;24741,0,1,5,2,6,5,4,11,14,18,50,50
48,1729,2009/2010,19,2009-12-27 00:00:00,658921,8667,10260,1,3,30829;23034;27430,24148;30829,0,2,5,6,5,9,7,6,13,25,58,42
49,1729,2009/2010,2,2009-08-19 00:00:00,658589,8191,10260,1,0,23074,,2,1,1,12,2,10,6,9,10,37,36,64
50,1729,2009/2010,20,2009-12-30 00:00:00,658935,10260,8528,5,0,30829;34944;38994;27430;35327,38994;35327;24148;35327;30829,0,1,7,3,9,5,8,6,38,7,65,35
51,1729,2009/2010,21,2010-01-09 00:00:00,658944,8658,10260,1,1,31953,,2,2,2,12,5,13,2,5,11,39,33,67
52,1729,2009/2010,22,2010-01-16 00:00:00,658950,10260,8191,3,0,27430;30829;72735,30829;27430;35327,0,0,7,1,10,8,14,6,24,6,61,39
53,1729,2009/2010,23,2010-01-23 00:00:00,658960,10260,8667,4,0,30829;30829;30829;30829,30373;24156;40945;27430,1,1,12,8,10,4,11,7,28,16,58,42
54,1729,2009/2010,24,2010-01-31 00:00:00,658974,9825,10260,1,3,40945;30829;30802;26005,40945;34944,1,0,8,4,2,3,10,5,17,19,55,45
55,1729,2009/2010,25,2010-02-06 00:00:00,658976,10260,8462,5,0,30829;34944;27430,24148;30829,1,4,12,1,7,5,12,2,29,3,60,40
56,1729,2009/2010,26,2010-02-10 00:00:00,659075,10252,10260,1,1,33863,,0,2,1,7,4,7,5,5,12,26,43,57
57,1729,2009/2010,27,2010-02-20 00:00:00,659082,8668,10260,3,1,27430;10491;46810;109058,35327;36012;24011,5,1,4,12,4,2,3,8,26,31,51,49
58,1729,2009/2010,28,2010-02-23 00:00:00,659091,10260,8654,3,0,30829;30829;30619,35327;35327;30373,0,1,6,7,8,8,3,6,26,26,60,40
59,1729,2009/2010,29,2010-03-06 00:00:00,659106,8602,10260,0,1,30373,,2,1,2,3,7,4,6,7,13,18,43,57
60,1729,2009/2010,3,2009-08-22 00:00:00,658602,8528,10260,0,5,30829;27430;30829;30619;40945,35327;30373;27430;40945,2,2,3,5,7,9,4,2,16,25,48,52
61,1729,2009/2010,30,2010-03-14 00:00:00,659111,10260,9879,3,0,30829;30829;27430,40945;27430;30802,1,1,11,1,16,5,15,3,33,5,68,32
62,1729,2009/2010,31,2010-03-21 00:00:00,659127,10260,8650,2,1,30853;30829;30802,37139;24148,2,3,1,2,4,1,5,1,13,11,60,40
63,1729,2009/2010,32,2010-03-27 00:00:00,659132,8559,10260,0,4,27430;27430;24156,24148;40945;40945,0,0,11,6,12,4,3,5,17,20,45,55
64,1729,2009/2010,33,2010-04-03 00:00:00,659142,10260,8455,1,2,30630;30822;165709,30679;31906;40945,3,2,2,3,3,3,6,5,22,11,56,44
65,1729,2009/2010,34,2010-04-11 00:00:00,659157,8655,10260,0,0,,,1,2,1,7,7,7,2,8,8,21,44,56
66,1729,2009/2010,35,2010-04-17 00:00:00,659168,8456,10260,0,1,30373,32569,2,1,7,5,4,5,4,8,23,30,47,53
67,1729,2009/2010,36,2010-04-24 00:00:00,659173,10260,8586,3,1,24154;30354;40945;24154,31921;165709,1,0,4,4,7,2,7,6,29,17,58,42
68,1729,2009/2010,37,2010-05-02 00:00:00,659181,8472,10260,0,1,40945,24148,3,2,9,4,5,8,6,7,23,21,42,58
69,1729,2009/2010,38,2010-05-09 00:00:00,659376,10260,10194,4,0,24148;24154;30802,27430;24154,2,0,10,2,11,7,8,0,22,11,55,45
70,1729,2009/2010,4,2009-08-29 00:00:00,658603,10260,9825,2,1,3520;30829,39297,3,6,6,5,6,4,6,7,12,9,47,53
71,1729,2009/2010,5,2009-09-12 00:00:00,658615,8586,10260,1,3,30348;24154;40961;30829,24148,3,3,3,8,7,12,5,3,16,22,49,51
72,1729,2009/2010,6,2009-09-20 00:00:00,658623,10260,8456,4,3,30829;23782;24148;33781;24148;33781;30619,32569;38817;24154;38817;24154;33633;24154,2,2,11,1,8,3,10,4,47,10,60,40
73,1729,2009/2010,7,2009-09-26 00:00:00,658673,10194,10260,0,2,27430;24150,24154;24154,1,1,2,7,1,5,1,6,6,21,41,59
74,1729,2009/2010,8,2009-10-03 00:00:00,658679,10260,8472,2,2,23949;27430;30988,25150;24150;17866,2,4,14,1,13,1,6,1,44,10,54,46
75,1729,2009/2010,9,2009-10-17 00:00:00,658690,10260,8559,2,1,35327;24372,30615;23934,0,1,12,1,8,10,7,8,27,11,52,48
76,1729,2010/2011,1,2010-08-16 00:00:00,839802,10260,10261,3,0,27430;24148;24154,30373;30829;30373,2,2,5,3,7,4,9,3,34,11,50,50
77,1729,2010/2011,10,2010-10-30 00:00:00,839904,10260,8586,2,0,30865;40945,40945,0,3,1,4,8,6,9,7,5,19,48,52
78,1729,2010/2011,11,2010-11-06 00:00:00,839914,10260,8602,2,1,30802;34433;30802,24148;31317;24148,1,0,3,2,8,3,7,3,28,13,50,50
79,1729,2010/2011,12,2010-11-10 00:00:00,839932,8456,10260,0,0,,,0,2,8,5,3,8,6,4,21,17,50,50
80,1729,2010/2011,13,2010-11-13 00:00:00,839936,10252,10260,2,2,23354;139671;165709;30865,30892;24148;40945,3,4,9,7,5,6,9,8,39,24,50,50
81,1729,2010/2011,14,2010-11-20 00:00:00,839944,10260,8528,2,0,32569;70409,30802;38994,0,4,11,1,7,4,7,6,48,5,50,50
82,1729,2010/2011,15,2010-11-27 00:00:00,839954,10260,8655,7,1,27430;30802;27430;27430;40945;27430;27430;19020,30829;30829;40945;40961;213063,0,2,5,2,5,1,4,2,25,14,50,50
83,1729,2010/2011,16,2011-01-25 00:00:00,839971,8483,10260,2,3,40548;21853;27430;70409;27430,39109;39109;24148;24154;30373,1,2,6,8,2,11,4,6,21,38,50,50
84,1729,2010/2011,17,2010-12-13 00:00:00,839974,10260,9825,1,0,30802,,0,4,5,4,8,4,4,6,11,12,50,50
85,1729,2010/2011,18,2011-03-01 00:00:00,839993,8455,10260,2,1,30829;52133;30631,40945;31306,3,3,10,2,6,6,14,5,33,19,50,50
86,1729,2010/2011,19,2010-12-26 00:00:00,839994,10260,8472,2,0,27430,30829,0,2,5,3,8,1,6,5,19,17,50,50
87,1729,2010/2011,2,2010-08-22 00:00:00,839829,9879,10260,2,2,30373;24020;26777,27430;24741;34574,2,2,5,11,10,10,10,10,29,44,50,50
88,1729,2010/2011,20,2010-12-28 00:00:00,840009,8658,10260,1,1,27430;33049,24156;38567,3,3,4,4,2,5,9,8,19,18,50,50
89,1729,2010/2011,21,2011-01-01 00:00:00,840061,8659,10260,1,2,30829;24171;70409,32569;30829,1,3,4,5,8,1,10,2,12,12,47,53
90,1729,2010/2011,22,2011-01-04 00:00:00,840065,10260,10194,2,1,70409;24411;40945,40945;42183;70409,0,0,6,1,7,0,14,4,25,16,50,50
91,1729,2010/2011,23,2011-01-16 00:00:00,840077,8586,10260,0,0,,,2,5,8,2,10,3,12,4,34,14,50,50
92,1729,2010/2011,24,2011-01-22 00:00:00,840085,10260,8658,5,0,27430;27430;24154;27430;40945,24150;30829;30829;24154;24150,0,0,10,3,4,2,13,4,37,16,57,43
93,1729,2010/2011,25,2011-02-01 00:00:00,840095,10260,10252,3,1,30829;30829;23949;30865,30726;40945;30892;30829,0,0,5,5,11,5,8,5,23,22,50,50
94,1729,2010/2011,26,2011-02-05 00:00:00,840111,8602,10260,2,1,40945;23435;23291,24148;23538;31317,2,2,4,6,4,5,2,10,15,37,50,50
95,1729,2010/2011,27,2011-02-12 00:00:00,840115,10260,8456,2,1,40945;37459;30829,24154;15403;40945,2,2,4,7,3,8,6,5,24,21,52,48
96,1729,2010/2011,28,2011-02-26 00:00:00,840133,8528,10260,0,4,70409;70409;30829;150176,40945;30829;27430;24148,0,1,8,3,5,7,5,8,31,17,40,60
97,1729,2010/2011,29,2011-03-06 00:00:00,840136,8650,10260,3,1,37139;37139;37139;70409,40636;40636;24154,2,3,6,4,7,6,9,6,19,25,50,50
98,1729,2010/2011,3,2010-08-28 00:00:00,839834,10260,8654,3,0,30829;40945;27430,30829;40945,1,2,9,3,7,3,10,5,34,16,50,50
99,1729,2010/2011,30,2011-03-19 00:00:00,840145,10260,8559,1,0,27430,40945,1,0,12,5,9,6,8,11,31,17,50,50
100,1729,2010/2011,31,2011-04-02 00:00:00,840156,8654,10260,2,4,37169;37169;30829;30829;30829;70409,35327;24154,1,2,0,16,2,8,4,13,13,45,36,64
101,1729,2010/2011,32,2011-04-09 00:00:00,840165,10260,9879,2,0,27430;35327,40945;40945,0,0,8,3,8,4,7,10,19,17,50,50
102,1729,2010/2011,33,2011-04-19 00:00:00,840178,10261,10260,0,0,,,2,2,6,7,5,9,10,11,23,26,50,50
103,1729,2010/2011,34,2011-04-23 00:00:00,840185,10260,8668,1,0,70409,35327,1,2,13,1,11,4,10,2,46,12,50,50
104,1729,2010/2011,35,2011-05-01 00:00:00,840195,9825,10260,1,0,75489,30843,2,3,3,6,2,7,7,4,22,19,46,54
105,1729,2010/2011,36,2011-05-08 00:00:00,840205,10260,8455,2,1,70409;30865;30631,30802;24154;31306,2,4,7,2,6,8,7,8,16,17,50,50
106,1729,2010/2011,37,2011-05-14 00:00:00,840219,8655,10260,1,1,30842;30829,25667,3,0,2,6,1,3,3,5,3,13,50,50
107,1729,2010/2011,38,2011-05-22 00:00:00,840225,10260,8483,4,2,30802;39109;23464;40961;30619,27430;40563;30802;40961,2,1,8,8,7,7,9,6,29,23,55,45
108,1729,2010/2011,4,2010-09-11 00:00:00,839846,8668,10260,3,3,36012;24148;30865;27430;30876;24011,24006;40945;40945;30373;24846;39618,1,1,7,5,12,3,12,7,31,19,50,50
109,1729,2010/2011,5,2010-09-19 00:00:00,839854,10260,8650,3,2,27430;27430;30618;30618;27430,24154;40945;24150,4,1,6,1,5,0,8,5,37,11,50,50
110,1729,2010/2011,6,2010-09-26 00:00:00,839872,8559,10260,2,2,40128;40945;33633;30619,33633;34261;40945,1,2,7,12,4,6,10,6,14,35,50,50
111,1729,2010/2011,7,2010-10-02 00:00:00,839875,8472,10260,0,0,,,1,2,10,4,13,6,8,6,31,19,50,50
112,1729,2010/2011,8,2010-10-16 00:00:00,839884,10260,8659,2,2,70409;40945;33790,40945;27430;23257,1,2,3,2,10,2,9,9,22,15,50,50
113,1729,2010/2011,9,2010-10-24 00:00:00,839901,10194,10260,1,2,70409;42183;70409,30865;47418;32569,2,2,5,6,2,5,6,8,32,22,47,53
114,1729,2011/2012,1,2011-08-14 00:00:00,1024191,8659,10260,1,2,30829;23293,23354;23257,3,2,6,5,7,4,7,8,16,23,50,50
115,1729,2011/2012,10,2011-10-29 00:00:00,1024675,8668,10260,0,1,70409,32569,3,0,4,1,11,5,7,1,25,8,50,50
116,1729,2011/2012,11,2011-11-05 00:00:00,1024759,10260,8472,1,0,,,0,2,6,2,10,2,6,7,22,13,50,50
117,1729,2011/2012,12,2011-11-19 00:00:00,1024815,10003,10260,0,1,70409,24154,0,1,6,2,5,6,2,7,25,16,53,47
118,1729,2011/2012,13,2011-11-26 00:00:00,1024845,10260,10261,1,1,70409;35411,,1,5,11,3,15,5,12,4,29,12,70,30
119,1729,2011/2012,14,2011-12-03 00:00:00,1024882,10252,10260,0,1,186137,40945,0,0,5,5,4,7,6,6,15,16,50,50
120,1729,2011/2012,15,2011-12-10 00:00:00,1024940,10260,8602,4,1,40945;30829;32627;40945;30829,35327;40945;23538;35327;35327,1,0,8,3,11,6,7,3,22,26,58,42
121,1729,2011/2012,16,2011-12-18 00:00:00,1025001,10172,10260,0,2,30829;34944,35327,1,2,5,10,4,13,8,8,24,16,50,50
122,1729,2011/2012,17,2011-12-21 00:00:00,1025054,9879,10260,0,5,113836;40945;24154;30829;27430,40945;24154;40945;24154;35327,1,0,3,10,9,7,5,5,9,16,31,69
123,1729,2011/2012,18,2011-12-26 00:00:00,1025092,10260,8528,5,0,30802;27430;27430;35327;27430,32569;24156;35327;34944,2,2,10,2,4,5,10,4,26,7,61,39
124,1729,2011/2012,19,2011-12-31 00:00:00,1025144,10260,8655,2,3,24160;24160;27430;27430;202180,38994;35327,2,2,17,3,13,2,16,5,51,4,50,50
125,1729,2011/2012,2,2011-08-22 00:00:00,1024308,10260,8586,3,0,113836;40961;30829,160713;113836;24154,1,2,11,3,17,11,8,8,28,9,50,50
126,1729,2011/2012,20,2012-01-04 00:00:00,1025212,10261,10260,3,0,35411;26160,24225,1,2,3,4,4,6,4,2,14,18,50,50
127,1729,2011/2012,21,2012-01-14 00:00:00,1025255,10260,8559,3,0,30373;113836;34944,30829;30829;24154,0,1,11,3,8,6,12,6,22,9,50,50
128,1729,2011/2012,22,2012-01-22 00:00:00,1025274,9825,10260,1,2,35327;30843;113836,24154;196386;35327,5,2,0,5,6,4,7,5,15,17,50,50
129,1729,2011/2012,23,2012-01-31 00:00:00,1025410,10260,10194,2,0,70409;27430,,1,3,9,2,10,4,4,5,17,12,50,50
130,1729,2011/2012,24,2012-02-05 00:00:00,1025473,8455,10260,3,3,41468;52133;30829;30829;70409,30853;41468;24154,2,1,6,6,6,9,11,4,15,20,50,50
131,1729,2011/2012,25,2012-02-11 00:00:00,1025531,10260,8650,2,1,30829;30829;40636,24154;35327;39109,1,1,4,3,4,4,5,4,9,12,51,49
132,1729,2011/2012,26,2012-02-26 00:00:00,1025582,9850,10260,1,2,30373;24698;24154,40945;33076;23354,1,2,4,4,7,7,7,3,23,23,52,48
133,1729,2011/2012,27,2012-03-04 00:00:00,1025653,8586,10260,1,3,30829;23354;23354;30348,23354;40945;32569,1,2,7,3,7,2,9,1,25,10,50,50
134,1729,2011/2012,28,2012-03-11 00:00:00,1025699,10260,8659,2,0,30829;30829,70409,0,2,8,5,9,3,10,3,20,10,50,50
135,1729,2011/2012,29,2012-03-18 00:00:00,1025765,8602,10260,0,5,43248;35327;113836;70409;70409,34944;30829;35327;38994;35327,2,1,4,7,3,10,2,8,13,18,50,50
136,1729,2011/2012,3,2011-08-28 00:00:00,1024348,10260,9825,8,2,113836;23354;30829;31013;30829;40945;30802;30843;30829;23354,40961;23354;31435;23354;30829;23354;214685;24154,2,4,3,5,7,8,9,6,14,13,59,41
137,1729,2011/2012,30,2012-03-26 00:00:00,1025790,10260,9879,1,0,30829,43248,1,0,7,1,15,5,3,1,22,6,60,40
138,1729,2011/2012,31,2012-04-02 00:00:00,1025820,8655,10260,0,2,35327;23354,38994;35327,1,1,2,10,7,8,5,6,15,37,50,50
139,1729,2011/2012,32,2012-04-08 00:00:00,1025884,10260,10172,2,0,30829;30373,38994,1,1,11,5,15,3,14,6,29,7,50,50
140,1729,2011/2012,33,2012-04-11 00:00:00,1025942,8528,10260,1,0,41061,38254,1,2,7,3,8,3,4,6,8,16,53,47
141,1729,2011/2012,34,2012-04-15 00:00:00,1025969,10260,10252,4,0,30829;113836;30829;40945,32569;35327;43248,3,3,11,4,11,2,10,7,17,6,50,50
142,1729,2011/2012,35,2012-04-22 00:00:00,1026031,10260,8668,4,4,8922;30829;113836;40945;39618;30829;8922;36012,24023;40945;40945;113836;24023;113836;39618,1,2,5,2,8,6,10,7,32,11,54,46
143,1729,2011/2012,36,2012-04-30 00:00:00,1026062,8456,10260,1,0,39027,37459,3,2,8,8,4,4,10,3,22,19,50,50
144,1729,2011/2012,37,2012-05-06 00:00:00,1026135,10260,10003,2,0,30373;23354,34944;30829,1,0,16,3,16,7,10,4,41,9,54,46
145,1729,2011/2012,38,2012-05-13 00:00:00,1026188,8472,10260,0,1,30829,186137,3,3,1,9,4,9,4,8,11,20,50,50
146,1729,2011/2012,4,2011-09-10 00:00:00,1024401,8559,10260,0,5,70409;30829;30829;70409;30829,40945;186137;186137;34944;40945,2,0,5,7,8,6,10,4,25,18,43,57
147,1729,2011/2012,5,2011-09-18 00:00:00,1024452,10260,8455,3,1,165823;40945;30829;30853,23354;43248;40945;37804,2,3,5,10,4,8,6,13,18,24,50,50
148,1729,2011/2012,6,2011-09-24 00:00:00,1024506,10194,10260,1,1,40945;30830,24148;24773,1,0,8,8,8,7,4,6,31,17,50,50
149,1729,2011/2012,7,2011-10-01 00:00:00,1024542,10260,9850,2,0,40961;113836,30829;30802,1,0,10,3,7,5,12,8,33,11,50,50
